Date,Time,Task Before Break,Task Difficulty,Planned Break (min),Break Trigger,Break Activity,Actual Break (min),Returned on Time?,Feeling After Break,Note,
2026-02-15,6:30 pm,Data Science code,High,10,CR Emergencies,Bathroom/Water,15,No,More focused,,
2026-02-15,8:06 pm,Data Science code,High,30,Hunger,Eating,16,Yes,More focused,,
2026-02-15,8:55 pm,Data Science code,High,10,Mental fatigue,Eating,7,Yes,More focused,,
2026-02-15,10:40 pm,Data Science code,High,5,Habit / autopilot,Phone (short-form),42,No,Neutral,,
2026-02-16,3:20 am,Data Science paper,Medium,60,Mental fatigue,Lying down,250,No,Neutral,,
2026-02-16,1:43 pm,Data Science paper,Medium,30,Hunger,Eating,66,No,More distracted,,
2026-02-16,4:15 pm,Data Science paper,Medium,10,Boredom,Watch,44,No,More distracted,,
2026-02-16,6:40 pm,Data Science paper,Medium,15,Phone notification,Messaging/E-mail,57,No,Neutral,,
2026-02-16,10:07 pm,Data Science paper,Medium,10,Hunger,Eating,7,Yes,More focused,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
